암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,(의)성광의료재단 차움한의원,93,한의원,110000,서울,110001,강남구,청담동,06062,"서울특별시 강남구 도산대로 442, (청담동, 2층일부)",545-4134,,2010-07-12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.0441055,37.5233218
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,(재)원불교서울보화당한의원,93,한의원,110000,서울,110016,종로구,종로5가,03126,"서울특별시 종로구 종로 237, (종로5가, 서울보화당)",02-762-7231,,1995-11-23,2,0,0,0,0,0,0,0,0,2,0,0,0,0,127.0042216,37.5713135
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,100년한의원,93,한의원,110000,서울,110017,중구,광희동2가,04614,"서울특별시 중구 퇴계로 324, 성우빌딩 5층 (광희동2가)",02-2269-1075,,2026-03-25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0077321,37.5639992
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzQxIyQxIyQ3IyQ4MiQyNjE0ODEjNTEjJDEjJDIjJDgz,180(일팔공)한의원,93,한의원,110000,서울,110018,송파구,문정동,05855,"서울특별시 송파구 송파대로 141, 르피에드 213호,216~222호 (문정동)",02-430-0180,http://180clinic.co.kr/,2023-09-21,4,0,0,0,0,0,0,0,0,4,0,0,0,0,127.1233041,37.4828761
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,365 하늘애한의원 강동본점,93,한의원,110000,서울,110002,강동구,명일동,05269,"서울특별시 강동구 동남로75길 29, 세종프라자 203호 (명일동)",02-3427-1075,,2015-04-16,2,0,0,0,0,0,0,0,0,2,0,0,0,0,127.1545432,37.5541567
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,365경희길음한의원,93,한의원,110000,서울,110012,성북구,길음동,02721,"서울특별시 성북구 길음로9길 50, 상가동 1층 212호 (길음동, 길음뉴타운)",02-915-1875,,2020-11-26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0192342,37.6043957
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,365경희제일한의원,93,한의원,110000,서울,110002,강동구,성내동,05404,"서울특별시 강동구 양재대로 1349, 3층 (성내동)",02-474-4007,,2024-02-22,3,0,0,0,0,0,0,0,0,3,0,0,0,0,127.1353772,37.5267275
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,365경희한의원,93,한의원,110000,서울,110003,강서구,화곡동,07786,"서울특별시 강서구 등촌로 3, 부경빌딩 302층 (화곡동)",02-2652-3650,,2019-04-03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8635312,37.5302867
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,365공릉차한의원,93,한의원,110000,서울,110022,노원구,공릉동,01839,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",02-6436-7575,,2023-12-20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0722313,37.6279628
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQ5OSQzNjEyMjIjNjEjJDEjJDAjJDgz,365구구한의원,93,한의원,110000,서울,110003,강서구,내발산동,07635,"서울특별시 강서구 수명로 78, 새롬프라자 4층 402,403호 (내발산동)",02-6953-2994,,2019-04-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8263359,37.5530272
